,sede_id,country_code,pais,ciudad,tipo_sede,telefono,email,sitio_web,region_geo
133,EPBAJ,NLD,REINO  DE  LOS  PAÍSES  BAJOS,La  Haya,Embajada,0031  70  3118411        /        0031  70  3118412,epbaj@mrecic.gov.ar,www.epbaj.mrecic.gov.ar,EUROPA  OCCIDENTAL
134,EPERU,PER,REPÚBLICA  DEL  PERÚ,Lima,Embajada,(0051-1)  4414444,eperu@mrecic.gov.ar,www.eperu.mrecic.gov.ar,AMÉRICA  DEL  SUR
135,EPNMA,PAN,REPÚBLICA  DE  PANAMÁ,Panama,Embajada,02-28-02,epnma@mrecic.gov.ar,www.epnma.cancilleria.gob.ar,AMÉRICA  CENTRAL  Y  CARIBE
136,EPOLO,POL,REPÚBLICA  DE  POLONIA,Varsovia,Embajada,+48  226  176  028  /  29,epolo@mrecic.gov.ar,https://epolo.cancilleria.gob.ar,EUROPA  CENTRAL  Y  ORIENTAL
137,EPORT,PRT,REPÚBLICA  PORTUGUESA,Lisboa,Embajada,00  351  21  7959223  ,eport@mrecic.gov.ar,eport.mrecic.gov.ar,EUROPA  OCCIDENTAL
138,EQATR,QAT,ESTADO  DE  QATAR,Doha,Embajada,+  974  4417  3601,eqatr@mrecic.gov.ar,eqatr.mrecic.gov.ar,ASIA
139,ERICA,CRI,REPÚBLICA  DE  COSTA  RICA,San  José,Embajada,(506)  2234  6270,erica@mrecic.gov.ar,https://erica.cancilleria.gob.ar,AMÉRICA  CENTRAL  Y  CARIBE
140,ERUMA,ROU,RUMANIA,Bucarest,Embajada,(0040)  372753040,eruma@cancilleria.gob.ar,https://eruma.cancilleria.gob.ar/,EUROPA  CENTRAL  Y  ORIENTAL
141,ERUNI,GRB,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,Londres,Embajada,00  44  207  318  1300,info@argentine-embassy-uk.org  ,https://eruni.cancilleria.gob.ar,EUROPA  OCCIDENTAL
142,ESAFR,ZAF,REPÚBLICA  DE  SUDÁFRICA,Pretoria,Embajada,00  27  12  430  3524,esafr@mrecic.gov.ar,http://esafr.mrecic.gov.ar/,ÁFRICA  SUBSAHARIANA
143,ESALV,SLV,REPÚBLICA  DE  EL  SALVADOR,San  Salvador,Embajada,(503)  25219400,esalv@mrecic.gov.ar,https://esalv.cancilleria.gob.ar,AMÉRICA  CENTRAL  Y  CARIBE
144,ESENE,SEN,REPÚBLICA  DE  SENEGAL,Dakar,Embajada,221  338641325,secon_esene@mrecic.gov.ar,https://esene.cancilleria.gob.ar/,ÁFRICA  SUBSAHARIANA
145,ESERB,SRB,REPÚBLICA  DE  SERBIA,Belgrado,Embajada,(381)  11  2623  751,eserb@mrecic.gov.ar,https://eserb.cancilleria.gob.ar,EUROPA  CENTRAL  Y  ORIENTAL
146,ESING,SGP,REPÚBLICA  DE  SINGAPUR,Singapur,Embajada,+65  6887  9808,esing@mrecic.gov.ar,https://esing.cancilleria.gob.ar,ASIA
147,ESSED,VAT,SANTA  SEDE,Roma,Embajada,00  39  06  686  5303,essed@mrecic.gov.ar,essed.mrecic.gov.ar,EUROPA  OCCIDENTAL
148,ESUEC,SWE,REINO  DE  SUECIA,Estocolmo,Embajada,(0046)  86631965,esuec@mrecic.gov.ar  /  consulares_esuec@mrecic.gov.ar  /  visasesuec@mrecic.gov.ar,www.esuec.mrecic.gov.ar,EUROPA  OCCIDENTAL
149,ESUIZ,CHE,Confederación  Suiza,Berna,Embajada,00  41  (31)  356  43  42,esuiz@mrecic.gov.ar,esuiz.cancilleria.gob.ar,EUROPA  OCCIDENTAL
150,ESURI,SUR,REPÚBLICA  DE  SURINAME,Paramaribo,Embajada,00  (597)  443  667,esuri@mrecic.gov.ar,esuri.cancilleria.gob.ar,AMÉRICA  DEL  SUR
151,ETAIL,THA,REINO  DE  TAILANDIA,Bangkok,Embajada,05-31-59,etail@mrecic.gov.ar,https://etail.cancilleria.gob.ar,ASIA
152,ETRIA,AUT,REPÚBLICA  DE  AUSTRIA,Viena,Embajada,(0043-1)  5335171,etria@mrecic.gov.ar  /  consular-etria@mrecic.gov.ar,https://etria.cancilleria.gob.ar,EUROPA  OCCIDENTAL
153,ETRIN,TTO,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,Puerto  España,Embajada,+1  (868)  628  7562,etrin@mrecic.gov.ar,www.etrin.mrecic.gov.ar,AMÉRICA  CENTRAL  Y  CARIBE
154,ETUNE,TUN,REPÚBLICA  TUNECINA,Tunez,Embajada,+  (216)  71  860  122,etune@mrecic.gov.ar  ,etune.cancilleria.gob.ar,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
155,ETURQ,TUR,República  de  Türkiye,Ankara,Embajada,+90  312  4462061,eturq@mrecic.gov.ar,https://eturq.cancilleria.gob.ar,EUROPA  OCCIDENTAL
156,EUCRA,UKR,UCRANIA,Kiev,Embajada,+38044  238  6922,eucra@mrecic.gov.ar,https://eucra.cancilleria.gob.ar,EUROPA  CENTRAL  Y  ORIENTAL
157,EUNES,FRA,REPÚBLICA  FRANCESA,París,Misión  Permanente ,00  33  1  4568  3442,dl.argentina@unesco-delegations.org,www.eunes.mrecic.gov.ar,EUROPA  OCCIDENTAL
158,EUNGR,HUN,HUNGRÍA,Budapest,Embajada,06-01-26,eungr@mrecic.gov.ar      ,https://eungr.cancilleria.gob.ar,EUROPA  CENTRAL  Y  ORIENTAL
159,EURUG,URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Montevideo,Embajada,(+598)  2902  8166,eurug@mrecic.gov.ar,eurug.mrecic.gov.ar,AMÉRICA  DEL  SUR
160,EVENE,VEN,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,Caracas,Embajada,0058  212  263  0285,evene@mrecic.gov.ar,http://www.evene.mrecic.gov.ar,AMÉRICA  DEL  SUR
161,EVIET,VNM,REPÚBLICA  SOCIALISTA  DE  VIETNAM,Hanoi,Embajada,04-24-31,eviet@mrecic.gov.ar,https://eviet.cancilleria.gob.ar,ASIA
162,OCCAT,CHN,REPÚBLICA  POPULAR  DE  CHINA,Taiwan,Oficina  Comercial ,(886-2)  2757-6578,occat@cancilleria.gov.ar,occat.mrecic.gob.ar,ASIA
163,REPAL,PSE,ESTADO  DE  PALESTINA,Ramala,Embajada,00  970  2  241  2848,repal@mrecic.gob.ar,repal.mrecic.gov.ar,ASIA
