sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion,nombre_titular,apellido_titular,cargo_titular,telefono_principal,telefonos_adicionales,celular_de_guardia,celulares_adicionales,fax_principal,faxes_adicionales,correo_electronico,correos_adicionales,sitio_web,sitios_web_adicionales,atencion_dia_desde,atencion_dia_hasta,atencion_hora_desde,atencion_hora_hasta,comentario_del_horario,temas
EECUA,Jefatura  de  Cancilleria,Jefatura  Cancilleria,Sección,Adrián  Gustavo  ,Viotti,Jefatura  de  Sección,,,(593)  99  973  -  8957,,,,eecua@mrecic.gov.ar,,http://eecua.mrecic.gov.ar/,,Lunes,Viernes,9.0000000,16.0:59,,
ECOLO,Jefatura  de  Cancillería,Jefatura  de  Cancillería,Sección,Pedro  Joaquín  ,López  Godoy,Jefatura  de  Oficina,,,,,,,ecolo@cancilleria.gov.ar          ,,,,,,,,,
EHILE,Jefatura  de  Cancillería,Head  of  Chancery,Sección,Javier  ,Lareo,Jefatura  de  Misión  Adjunto,+56  2  2582  2516,,,,56-2-2639  3321,,privadacancilleria_ehile@mrecic.gov.ar,,http://www.ehile.cancilleria.gov.ar/,,Lunes,Viernes,9.0000000,16.0:59,,
EJAPO,Jefatura  de  Cancillería,Jefatura  de  Cancillería,Sección,Pedro  Ezequiel  ,Marotta,Jefatura  de  Sección,,,,,,,ejapo@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
EBRAS,Jefatura  de  Cancillería,Jefatura  de  Cancillería,Sección,Pablo  Antonio  ,De  Angelis,Encargado  de  Negocios  a.i.,55  61  3212-7600,,,,55  61  3212-7666,,ebras@mrecic.gob.ar,,,,,,0.0000000,0.0000000,,
EFRUS,Jefatura  de  Cancillería,Jefatura  de  Cancillería,Sección,Diego  Miguel  ,Desmoures,Jefatura  de  Sección,+7  495  502  1020,,+7  903  725  1449,,+7  495  755  5800  ,,efrus@cancilleria.gob.ar,,,,Lunes,Viernes,9.0:29,18.0000000,,
EPERU,Jefatura  de  Cancillería,Jefatura  de  Cancillería,Sección,Verónica  ,Chiffel  Figueiredo,Jefatura  de  Misión  Adjunto,,,,,,,eperu@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
EBARB,Jefatura  de  Cancillería,Charge  d'affaires,Sección,,,Jefatura  de  Sección,,,,,,,ebarb@cancilleria.gob.ar,,,,,,,,08.30  a  15.30,
ECANA,"Jefatura  de  Cancillería, Sección  Política  y  Ceremonial","Head  of  Chancery, Political  Affairs  and  Protocol",Sección,Pedro  Xavier  ,Alchourron,Jefatura  de  Sección  Política,1  613  236  2351,,,,,,ecana@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ESSED,Jefatura  de  Misión,Head  of  the  Diplomatic  Mission,Sección,Luis  Pablo  María  ,Beltramino,Embajador,,,,,,,essed@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ENIGE,Jefatura  de  Misión,JEFATURA  SECCION  CANCILLERIA  ,Sección,Nicolás  María  ,Perazzo  Naon,Encargado  de  Negocios  a.i.,234  (0)  707  483  2145,,,,,,enige@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
EEEUU,Jefatura  de  Misión  Adjunto  ,Deputy  Chief  of  Mission,Sección,Juan  Manuel  ,Cortelletti,Jefatura  de  Misión  Adjunto,1  202  238  6464,,,,,,dcm@embassyofargentina.us,,,,,,0.0000000,0.0000000,,
EISRA,Jefatura  de  Sección  Administrativa,Jefatura  de  Sección  Administrativa,Sección,Adriana  Mónica  ,Molina,Jefatura  de  Sección  Administrativa,972  9    2520800  /    732520801,,,,,,eisra@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
EPORT,JEFATURA  DE  SECCIÓN  CONSULAR,CHIEF  OF  CONSULAR  SECTION,Sección  Consular,Mariano  Andrés  ,Guida,Jefatura  de  Sección  Consular,00351  21  79  60  517,,00351  919  021  535,,,,seconeport@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0000000,HORARIO  CONSULADO,
EPORT,JEFATURA  DE  SECCIÓN  CULTURAL,CHIEF  OF  CULTURAL  SECTION,Sección,Mariano  Andrés  ,Guida,Jefatura  de  Sección  Cultural,00351  21  79  59  223,,,,,,eport@cancilleria.gob.ar,,,,Lunes,Viernes,9.0:29,18.0000000,SECCIÓN  CULTURAL,
EMARR,Jefatura  de  Sección  Cultural  ,Chief  of  the  Cultural  Section,Sección,Melina  ,Erkekdjian,Jefatura  de  Sección  Cultural,,,,,,,emarr@cancilleria.gov.ar,,,,Lunes,Viernes,9.0000000,15.0000000,,
EPORT,JEFATURA  DE  SECCIÓN  ECONÓMICA  Y  COMERCIAL,Chief  of  Economic  and  Commercial  Section,Sección,María  Noel  ,Borsellino,Jefatura  de  Sección  Económica  y  Comercial,00351  21  79  59  223,,,,,,eport@cancilleria.gob.ar,,,,Lunes,Viernes,9.0:29,18.0000000,HORARIO  DE  EMBAJADA.,
EFILI,Leandro  Waisman,Leandro  Waisman,Sección,,,Jefatura  de  Sección  Económica  y  Comercial,,,,,,,efili@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EFILI,Leandro  Waisman,Leandro  Waisman,Sección,Leandro  ,Waisman,Jefatura  de  Misión  Adjunto,63  2  88453218,,639178366925,,,,efili@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EBOLV,Misión  Naval  Argentina,MISIÓN  NAVAL  ARGENTINA,Sección,,,Agregado,591  2  2435260,591  2  2435242,,,,,misionsecretaria@hotmail.com,,,,,,0.0000000,0.0000000,,
EBOLV,"Narcotráfico, Frontera, Migraciones, Cooperación, Derechos  Humanos, Genero  (trata)  y  Administración","Defensa, Narcotráfico  y  Derechos  Humanos",Sección,Melisa  Andrea  ,Manzano,Jefatura  de  Sección,,,,,,,zmm@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
EMEXI,Negociaciones  Económicas  Bilaterales,Negociaciones  Económicas  Bilaterales,Sección,Augusto  Pablo  ,Riva,Jefatura  de  Oficina,,,,,,,comercial-emexi@mrecic.gov.ar,,,,,,,,,
CNYOR,Notariales,Notary  Public  Documents  Department,Sección,Nelson  Flavio  ,Martín,Jefatura  de  Sección,1  212  603  0451,1  212  603  0402,1(646)  283-5892,,,,cnyor@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
DITIC,nueva,nuva,Sección,test,test,Agregado,,,54  911,,,54  (11)  7677,ditic@mrecic.gov.ar,,,,,,8.0000000,18.0000000,,
ERUNI,OMI,OMI,Sección,Federico  Gabriel  ,Hirsch,Representante  Permanente,,,,,,,info@argentine-embassy-uk.org  ,,,,Lunes,Viernes,9.0000000,16.0:59,,
CNYOR,Personal,Sección  de  Personal  ,Sección,Silvia  Liliana  ,Roffredo,Agregado,1  212  603  0400,,,,,,cnyor@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EMEXI,Política  Comercial,Trade  Policy,Sección,Maria  Fernanda  ,Vizan,Jefatura  de  Sección,52  55  5520  9430,,,,,,comercial-emexi@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EJAPO,Política  y  Deportes,Politics,Sección,Tomás  ,Vera  Ziccardi,Jefatura  de  Sección,,,,,,,politica_ejapo@cancilleria.gob.ar,,,,,,,,9:00  a  18:00  hs,
EKENY,Política  y  Prensa,Political  and  Cooperation,Sección,María  Celeste  ,Danón,Jefatura  de  Sección  Política,+254  (0)  202  324  673,,,,,,ekeny@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ESALV,Prensa,Prensa,Sección,Horacio  L.  M.  ,Lazzari  Mathieu,Jefatura  de  Sección  de  Prensa,503  25219406,,503  78626494,,,,esalv@mrecic.gov.ar,,,,Lunes,Viernes,7.0:59,16.0000000,,
ETUNE,Prensa,Prensa,Sección,Sebastián  ,Ballina,Jefatura  de  Sección  de  Prensa,216  71860122,,,,,,etune@mrecic.gov.ar  (correo  inst.),,,,Lunes,Viernes,9.0000000,16.0:59,,
CGMUM,Promoción  de  Turismo,Tourism  Promotion,Sección,María  Virginia  ,Yapur,"Jefatura  de  Sección  Cultural, Educativa  y  Turística",,,+  919930310617,,,,tourism_cgmum@mrecic.gov.ar,,https://cgmum.cancilleria.gob.ar/,,Lunes,Viernes,9.0000000,16.0:59,,
CNYOR,"Promoción  del  Comercio, Inversiones, Turismo  y  Cultura",Commercial  Promotion,Sección,María  Belén  ,García  Alcat,Jefatura  de  Sección,1  212  603  0401,,  1(646)  283-5892,,,,cnyor-comercial@mrecic.gov.ar,cnyor-cultura@mrecic.gov.ar,,,Lunes,Viernes,9.0000000,16.0:59,,
EGUAT,Promoción  turistica,Sección  promoción  turística,Sección,Sebastián  Juan  ,Palou,Jefatura  de  Sección  Turismo,502  24645900,,,,,,eguat@mrecic.gov.ar,,,,Lunes,Viernes,7.0:59,15.0000000,8.00  a  15.00hs,
CNYOR,"Relaciones  Institucionales, Educación  y  Ciencia, Temas  Políticos",Argentine  community  and  public  diplomacy,Sección,Nelson  Flavio  ,Martín,Jefatura  de  Sección,1  212  603  0423,,16462835892,,,,cnyor@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EPBAJ,Representación  Permanente  ante  la  OPAQ,Permanent  Rep.  to  the  OPCW,Sección,Diego,Sadofschi,Representante  Permanente  Alterno  a.c.,0031  (070)  3118411        /        0031  (070)  3118416,,,,,,epbaj@cancilleria.gob.ar,,,,,,,,09.00  a  17.00  hs.,
EHILE,Residencia  Oficial,Official  Residence,Sección,Jorge  Marcelo  ,Faurie,Embajador,56-2-2582  2612,56-2-2582  2613,,,,,ehile@cancilleria.gob.ar,,http://www.ehile.cancilleria.gov.ar/,,,,,,,
EFILI,Santiago  Javier  D´assaro  ,Santiago  Javier  D´assaro  ,Sección,Santiago  Javier  ,D'Assaro,Agregado,63  2  88453219  ,,639178366925,,,,embajada_efili@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ETRIN,Sección  Administración,Administrative  Affaires,Sección,Ana  María  ,Díaz  Robinson,Jefatura  de  Sección  Administrativa,1  868  628  7562,,,,,,etrin@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0000000,,
EALEM,Sección  Administración,Sección  Administración,Sección,Vanesa  Y.  ,Mastrocola  Meriggi,Jefatura  de  Sección,49  3022668945,,,,,,adm_ealem@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
CBARC,Sección  Administración,Administrative  Section,Sección,María  Gabriela  ,Gianni,Jefatura  de  Sección  Administrativa,,,,,,,administracion_cbarc@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EDOMI,Sección  Administración,Sección  Administración,Sección,Marcelo  Alejandro  ,Grimaldi,Agregado,,,,,,,admin_edomi@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0000000,,
CCONC,Sección  Administración,Administración,Sección,Edgardo  Hernán,Martinez,Jefatura  de  Sección  Administrativa,(56-41)  2230257  ,,(56-41)  993598961  ,,,,cconc@mrecic.gov.ar,,,,Lunes,Viernes,9.000004,14.000005,,
EBARB,Sección  Administrativa,Administrative  Attaché,Sección,,,Jefatura  de  Sección,,,,,,,ebarb@cancilleria.gob.ar,,,,,,,,08.30  a  15.30,
EKUWA,Sección  Administrativa,Administrative  Section,Sección,Gabriela  Fernanda  ,Pérez,Jefatura  de  Sección  Administrativa,965  2521-3202/4202/5202,,965  66143232,,,965  25216202,ekuwa@mrecic.gov.ar,pgf@mrecic.gov.ar,,,Domingo,Jueves,9.0000000,16.0000000,,
ESUEC,Sección  Administrativa,Administration,Sección,María  Laura  ,Barenco  Ledesma,Jefatura  de  Sección  Administrativa,46  86631965,,46  708735960,,,,administracion_esuec@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ECANA,Sección  Administrativa,Administration,Sección,Juan  Pablo  ,Allamian,Jefatura  de  Sección  Administrativa,,,,,,,administracionecana@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
ESING,Sección  Administrativa,Administrative  Section,Sección,Mario  Luis  ,Sivila,Jefatura  de  Sección  Administrativa,,,,,,,esing@mrecic.gob.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EMOZA,Sección  Administrativa,Administrative  Section,Sección,Vanina  C.,Agostinelli,Jefatura  de  Sección  Administrativa,,,,,,,emoza@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EEARB,Sección  Administrativa,Seccion  Administrativa,Sección,Viviana  Malvina  ,Sosa,Jefatura  de  Sección  Administrativa,,,,,,,eearb@mrecic.gov.ar,,,,Lunes,Viernes,7.0:59,16.0000000,,
CGTEL,Sección  Administrativa,Agregado  Administrativo,Sección,Gustavo  Fabián  ,Ruggieri,Jefatura  de  Sección  Administrativa,,,,,,,cgtel@cancilleria.gob.ar,,,,,,,,,
EFRAN,Sección  Administrativa,Sección  Administrativa,Sección,Flavia  Vanesa  ,Levin,Jefatura  de  Sección  Administrativa,33144052702,,,,,,efran@cancilleria.gob.ar,,,,,,,,09:00  a  13:00  hs  y  13:00  a  17:00  hs,
EITAL,Sección  Administrativa,Administrative  Section,Sección,Carlos  Guillermo  ,Pérez  Godoy,Jefatura  de  Sección  Administrativa,,,,,,,eital@cancilleria.gob.ar,,,,,,,,Lunes  a  viernes  de  09.00  a  18.00  horas,
CSCRS,Sección  Administrativa,Administracion,Sección,Alejandro  Matías  ,Berón,Jefatura  de  Sección  Administrativa,(00-  591-  3)  3324153,,,,(00-  591-  3)  334  8200,,cscrs@cancilleria.gob.ar,,https://cscrs.cancilleria.gob.ar/,,Lunes,Viernes,7.0:59,16.0000000,,
ECHIN,Sección  Administrativa,Administración,Sección,Yolanda  Marisa  ,Kranevitter,Jefatura  de  Sección,00  86  10  6532  2357,,,,,,echin@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
EEEUU,Sección  Administrativa,Jefatura  de  Administración,Sección,Gustavo  Alejandro  ,Maggiora,Jefatura  de  Sección  Administrativa,00  1  202  238  6434,,,,00  1  202  238  6417,,administracion@embassyofargentina.us,,,,,,,,09:00  a  17:00  hs.,
EEGIP,Sección  Administrativa,Administrative  Section,Sección,Cristian  Ariel  ,Caggia,Jefatura  de  Sección  Administrativa,,,,,,,adm_eegip@mrecic.gov.ar,,,,Domingo,Jueves,9.0000000,15.0000000,,
EVENE,Sección  Administrativa,Sección  Administrativa,Sección,Verónica  Andrea  ,Limongelli,Jefatura  de  Sección,58  212  2634262,,58  414  2387145,,,,administracion_evene@mrecic.gov.ar,,https://evene.cancilleria.gob.ar,,,,7.0:59,16.0000000,Lunes  a  Viernes  de  8  a  16,
EDINA,Sección  Administrativa,Administrative  Section,Sección,,,Jefatura  de  Sección  Administrativa,33158082,,,,,,edina@mrecic.gov.ar,,,,Lunes,Viernes,10.0000000,16.0000000,,
EUNGR,Sección  Administrativa,Administrative  Section,Sección,Juan  Carlos  ,Ganam,Jefatura  de  Sección  Administrativa,+36  1  326  0492,,,,,,  eungr@mrecic.gov.ar      ,,,,Lunes,Viernes,9.0000000,16.0:59,,
EARME,Sección  Administrativa,Sección  Administrativa,Sección,,,Jefatura  de  Sección  Administrativa,00374  (010)  576451,00374  (010)  576452,,,,,admin_earme@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EANGO,Sección  Administrativa,Sección  Administrativa,Sección,Lucas  Ezequiel  ,Paolillo,Jefatura  de  Sección  Administrativa,,,,,,,admin_eango@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
EESPA,Sección  Administrativa,Administration,Sección,Sirarpi  Rita  ,Jensezian,Jefatura  de  Sección,34  917710500  -19,,34  639707564,,,,administracion.argenesp@mrecic.gov.ar,,http://eespa.mrecic.gov.ar/,,Lunes,Viernes,9.0000000,16.0:59,9.00  a  17.00  hs,
EHOND,Sección  administrativa,Sección  Administración,Sección,Norberto  ,Sáenz,Agregado,504  2232-3376,,504  9969-7424,,,,ehond@cancilleria.gob.ar,,,,Lunes,Viernes,7.0:59,16.0000000,,
EPERU,Sección  Administrativa,Agregada  Administrativa,Sección,Oscar  Alfio  ,Borzi  Romero,Jefatura  de  Sección,(0051-1)  4414444,,,,,,administracion_eperu@cancilleria.gob.ar,,,,,,,,9:00  hs    17:30  hs.,
EAUST,Sección  Administrativa,Head  of  Administration,Sección,Yesica  Carolina  ,Comas,Jefatura  de  Sección  Administrativa,61  262739111,,,,,,eaust@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EARGE,Sección  Administrativa,  Sección  Administrativa,Sección,Daniel  Osvaldo,Medina,Jefatura  de  Sección  Administrativa,+213  (0)  23187441,,+213  (0)  770381010,,+213  (0)  23187439,,dom@mrecic.gov.ar,,earge.cancilleria.gob.ar,,Domingo,Jueves,9.0000000,16.0:59,09.00  a  17.00  horas  -  de  Domingo  a  Jueves,
ECUBA,Sección  Administrativa,Sección  Administración,Sección,Sabrina  Laura  ,Coronel,Jefatura  de  Sección  Administrativa,,,,53  59311864,,,ecuba@mrecic.gov.ar,sqc@@mrecic.gov.ar,,,Lunes,Viernes,8.0000000,16.0000000,08:30  a  16:30  Hs.  (Lunes  a  Viernes),
CSIDN,Sección  Administrativa,Administrative  Section,Sección,Silvina  Claudia  ,Franco,Jefatura  de  Sección  Administrativa,,,,,,,csidn@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
EISIA,Sección  Administrativa,Administrative  Section,Sección,Pablo  Nicolás  ,Spahr,Jefatura  de  Sección  Administrativa,,,,,,,eisia@cancilleria.gob.ar,,www.eisia.mrecic.gov.ar,,Lunes,Viernes,9.0000000,16.0000000,11/30/99 9:15,
CMIAM,Sección  Administrativa,Sección  Administrativa,Sección,,,Jefatura  de  Sección,1  3053731889,,,,,,administracion_cmiam@mrecic.gov.ar,,,,Lunes,Viernes,8.0000000,16.0000000,,
ECOLO,Sección  Administrativa,Sección  Administrativa,Sección,María  Florencia  ,Moreno,Jefatura  de  Sección  Administrativa,+57  601  288  0900,,,,,,administracion_ecolo@cancilleria.gob.ar,,,,,,,,,
EHILE,Sección  Administrativa,Administrative  Section  ,Sección,Darío  Fabián,Ozán,Jefatura  de  Sección  Administrativa,56-2-2582  2527,,,,56-2-2639  3321,,administracion_ehile@mrecic.gov.ar,,http://www.ehile.cancilleria.gov.ar/,,Lunes,Viernes,9.0000000,16.0:59,,
ENIGE,Sección  Administrativa,Sección  Administrativa,Sección,Carlos  Alberto  ,Marinaro,Jefatura  de  Sección  Administrativa,00  234  (0)  234  906  815  4875,,,,,,enige@cancilleria.gob.ar,,,,,,,,,
ESURI,Sección  Administrativa,,Sección,Juan  Ignacio  ,Rossi  Sammartino,Jefatura  de  Sección  Administrativa,,,,,,,,,,,,,,,,
ECEUR,Sección  Administrativa,Administrative  Section,Sección,Alejandro,Lucero,Jefatura  de  Sección  Administrativa,(+32)  2  648  93  71,,,,,,eceur@cancilleria.gob.ar,,,,,,,,,
EPNMA,Sección  Administrativa,Agregada  Administrativa,Sección,María  Laura  ,Massuh,Jefatura  de  Sección  Administrativa,507  302  0003,,507  66161112,,,,epnma@cancilleria.gob.ar,administracion_epnma@mrecic.gov.ar,,,,,,,,
EINDI,Sección  Administrativa,Sección  Administrativa,Sección,Sergio  Fabián  ,Policastro,Jefatura  de  Sección  Administrativa,,,,,,,admin_eindi@mrecic.gov.ar,,,,Lunes,Viernes,9.0:29,18.0000000,,
ESERB,Sección  Administrativa,Sección  de  Administración,Sección,Javier  Antranik  ,Chalian,Jefatura  de  Sección  Administrativa,,,,,,,eserb@mrecic.gov.ar,,,,Lunes,Viernes,7.0:59,16.0000000,,
EMARR,Secciòn  Administrativa,Administrative  Section,Sección,Maria  Ines,Martinez  de  Pires  Diz,Jefatura  de  Sección,212  537  75  51  20/  int  112,,212  537  75  12  93,,212  537  75  54  10,,emarr@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,15.0000000,,
ELBNO,Sección  Administrativa  Contable,Sección  Administrativa  y  Contable,Sección,Daniel  Raul,Vignatti,Jefatura  de  Sección  Administrativa,(961  -  1)  210  803/4  int.  2,,,,,,contable_elbno@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,15.0000000,,
ECORE,Sección  Administrativa  y  Recursos  Humanos,Sección  Administrativa,Sección,Elva  Julieta  ,Martínez,Jefatura  de  Sección,82  2-793-4062,,,,,,ecoreadm@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,18.0000000,,
EMEXI,Sección  Administrativa  y  Recursos  Humanos  ,Administration  and  Human  Resources,Sección,Noelia  Solange  ,Murano,Jefatura  de  Sección,00  52  (55)  5520  9430,,,,,,administracion-emexi@mrecic.gov.ar,,,,,,,,09:00  A  17:00,
CMILA,Sección  Administrativa:,Sección  Administrativa:  Agregado  Administrativo  Gustavo  Ruggieri,Sección,Sergio  Fabián  ,Pérez  Godoy,Jefatura  de  Sección,00  39  (02)  7772  9437,,,,00  39  (02)  7772  9444,,cmila@cancilleria.gob.ar,,,,,,,,8:30  a  16:30,
EMEXI,Sección  Comercial,Trade  Department,Sección,Esteban  Justo  ,De  Anchorena,Jefatura  de  Sección,52  55  5520  9430,,,,,,comercial-emexi@mrecic.gov.ar,,,,,,,,,
CSCRS,Sección  Comercial,Sección  Comercial,Sección,Irene  Amelia  ,Lafferriere,Cónsul  General  Adjunto  a.c,,,,,,,cscrs@mrecic.gov.ar,,,,Lunes,Viernes,8.0000000,16.0000000,,
EEGIP,Sección  Comercial,Sección  Comercial,Sección,José  Alberto  ,Flores  Velasco,Jefatura  de  Sección  Económica  y  Comercial,,,,,,,comercial_eegip@mrecic.gov.ar,,,,Domingo,Jueves,9.0000000,15.0000000,,
EDINA,Sección  Comercial,Economic  and  Commerce  Section,Sección,Malén  ,Vázquez,Jefatura  de  Sección  Económica  y  Comercial,33158082,,,,,,edina.secom@mrecic.gov.ar,,,,Lunes,Viernes,10.0000000,16.0000000,,
EURUG,Sección  Comercial,Commercial  Section,Sección,Ignacio  Joaquín  ,Méndez,Jefatura  de  Sección,(+598)  2902  8166,,(+598)  92  947  601,,(+598)  2900  8408,,comercial_eurug@mrecic.gov.ar,,eurug.mrecic.gov.ar,,Lunes,Viernes,9.0000000,16.0:59,,
CURUG,Sección  Comercial,Commercial  Section,Sección,Fernando  Aníbal  ,Flores,Cónsul  Adjunto,55  55  552102-9666,55  553412-1925,,,,,comercial_curug@mrecic.gov.ar,,https://curug.cancilleria.gob.ar/,,Lunes,Viernes,10.0000000,16.000005,,
CSIDN,Sección  Comercial  ,Trade  and  Cultural  Section,Sección,Pedro  Alberto  ,Alurralde,Cónsul  Adjunto,,,,,,,csidn@mrecic.gov.ar,,,,,,0.0000000,0.0000000,,
EPOLO,Sección  Comercial,Sección  Comercial,Sección,Alicia  Irene  ,Falkowski,Jefatura  de  Sección  Económica  y  Comercial,+48  226  176  028  /  29,,,,+48  226  177  162,,secom.epolo@mrecic.gov.ar,epolo@mrecic.gov.ar,,,Lunes,Viernes,9.0000000,16.0000000,,
EHOND,Sección  Comercial,Sección  Comercial,Sección,Daniela  ,Gutiérrez  Alvaro,Jefatura  de  Sección,00  504  2232-3376/0292,,00  504  9969-7424,,,,comercial.ehond@cancilleria.gob.ar,,,,Lunes,Viernes,7.0:59,16.0000000,08:00  a  16:00,
EPBAJ,Sección  Comercial,Commercial  Section,Sección,Diego  Emilio  ,Sadofschi,Jefatura  de  Sección,0031  (070)  3118417        /        0031  (070)  3118426,,,,,,comercial_epbaj@mrecic.gov.ar,inversiones_epbaj@mrecic.gov.ar,,,,,,,09.00  a  17.00  hs.,
ESALV,Sección  Comercial  e  Inversiones,Comercial  e  Inversiones,Sección,Horacio  L.  M.  ,Lazzari  Mathieu,Jefatura  de  Sección  Económica  y  Comercial,503  25219406,,503  78626494,,,,scomercial.esalv@mrecic.gov.ar,esalv@mrecic.gov.ar,,,Lunes,Viernes,7.0:59,16.0000000,,
CMIAM,Sección  Comercial  e  Inversiones,Commercial  and  investment  section,Sección,Martín  Horacio  ,Romero,Jefatura  de  Sección,+1  305-373-1889,,,,,,comercial_cmiam@mrecic.gov.ar,,cmiam.cancilleria.gov.ar,,Lunes,Viernes,8.0000000,16.0000000,,
EFINL,Sección  Comercial  y  de  Inversiones,Sección  Comercial  y  de  Inversiones,Sección,Lucía  ,Scheinkman,Jefatura  de  Sección  Económica  y  Comercial,(00358)  942428709,,,,(00358)  942428701,,comercial_efinl@cancilleria.gob.ar,,finlandia.embajada.gob.ar,,Lunes,Viernes,9.0000000,16.0000000,,
CBELO,"Sección  Comercial, Cultural  y  Turismo.","Sección  Comercial, Cultural  y  Turismo.",Sección,,,Cónsul,WhatsApp:  005531992830497,,,,,,comercial_cbelo@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,13.0000000,Horario  de  atención  al  público  presencial  para  trámites  consulares.,
EAUST,Sección  Comercio  e  Inversiones,Trade  and  Investment  Section,Sección,Camilo  Ernesto  ,Silberkasten,Jefatura  de  Sección,61  2627339111,,,,,,trade_eaust@mrecic.gov.ar,,http://eaust.cancilleria.gob.ar/,,Lunes,Viernes,9.0000000,16.0:59,,
CBARC,"Sección  Comercio, Turismo  e  Inversiones",Tourism  and  Investment,Sección,Gonzalo  F.  ,Rodríguez  Newbound,Jefatura  de  Sección,,,,,,,comercial_cbarc@cancilleria.gob.ar,,,,Lunes,Viernes,9.0000000,16.0:59,,
EFRUS,Sección  Concurrencias  y  Protocolo,Strategic  Affairs,Sección,Diego  Miguel  ,Desmoures,Jefatura  de  Sección,74955648194,,,,,,efrus@cancilleria.gob.ar,,,,,,,,,
EBARB,Sección  Consular,Consular  Section  ,Sección,Vanesa  Andrea  ,Romani,Jefatura  de  Sección  Consular,+1  (246)  537-1800  /  01,,  +1  (246)  826-0229,,,,ebarb@cancilleria.gob.ar,,,,Lunes,Viernes,8.0000000,15.0:29,"En  caso  de  una  EMERGENCIA  GRAVE  que  no  puede  aguardar  hasta  la  reapertura  de  la  Embajada, comuníquese  al  Celular  de  Guardia.  //    //    //    //  The  Celular  de  Guardia""  is  ONLY  for  EMERGENCY  cases.""",
EINDI,Sección  Consular,Consular  Section,Sección  Consular,Mariana  ,Soriano  Farias,Cónsul,,,,,,,secon_eindi@mrecic.gov.ar,,https://eindi.cancilleria.gob.ar/en/consular-services,,Lunes,Viernes,9.0:29,12.0:29,,
CGMUM,Sección  Consular,Consular  Section,Sección,Daniel  N.  ,Quer  Confalonieri,Jefatura  de  Sección  Consular,,,+91  99303  10617,,,,consular_cgmum@mrecic.gov.ar,legalization_cgmum@mrecic.gov.ar,https://cgmum.cancilleria.gob.ar/,,Lunes,Viernes,9.0000000,16.0:59,09:00  /  17:00  horas.  ,
CRIOJ,Sección  Consular,Sección  Consular,Sección,Paola  Luciana  ,Faletto,Cónsul  Adjunto,00  55  (21)  3850-8150  ,,00  55  (21)  9  9987  -  4875,,,,crioj@cancilleria.gob.ar,,,,,,,,Atención  al  Público:  10  a  15  hs.,
ESING,Sección  Consular,Consular  Section  ,Sección,Santiago  Rafael  ,Martino,Jefatura  de  Sección  Consular,+65  6887  9820,,,,,,secon_esing@mrecic.gob.ar,,,,Lunes,Viernes,9.0000000,13.0000000,Horario  de  atención  al  público,
CSIDN,Sección  Consular,Sección  Consular,Sección,Pedro  Alberto,Alurralde,Cónsul  Adjunto,,,,,,,csidn@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,15.0000000,,
CSIDN,Sección  Consular,Sección  Consular,Sección,Tomás  María  ,Ainchil,Cónsul  Adjunto,,,,,,,csidn@mrecic.gov.ar,,,,Lunes,Viernes,9.0000000,15.0000000,,
